X,Y,Topo
-1629500,1645500,-893.895080566406
-1630500,1646000,-899.780822753906
-1630000,1646000,-924.065063476563
-1629500,1646000,-939.904541015625
-1629000,1646000,-953.646179199219
-1632000,1646500,-866.459899902344
-1631500,1646500,-889.427307128906
-1631000,1646500,-896.034973144531
-1630500,1646500,-916.793823242188
-1630000,1646500,-946.067199707031
-1629500,1646500,-967.1455078125
-1629000,1646500,-977.323852539063
-1633000,1647000,-820.599609375
-1632500,1647000,-832.986511230469
-1632000,1647000,-854.646423339844
-1631500,1647000,-887.346313476563
-1631000,1647000,-908.512817382813
-1630500,1647000,-931.298522949219
-1630000,1647000,-968.395874023438
-1629500,1647000,-999.065673828125
-1629000,1647000,-992.527038574219
-1634000,1647500,-750.007629394531
-1633500,1647500,-780.703491210938
-1633000,1647500,-813.50341796875
-1632500,1647500,-831.141357421875
-1632000,1647500,-850.028503417969
-1631500,1647500,-888.416564941406
-1631000,1647500,-922.63671875
-1630500,1647500,-951.842834472656
-1630000,1647500,-980.043273925781
-1629500,1647500,-1005.30419921875
-1629000,1647500,-981.242736816406
-1628500,1647500,-949.638549804688
-1635000,1648000,-574.126770019531
-1634500,1648000,-633.882202148438
-1634000,1648000,-681.065063476563
-1633500,1648000,-736.598510742188
-1633000,1648000,-812.11279296875
-1632500,1648000,-841.062194824219
-1632000,1648000,-862.478637695313
-1631500,1648000,-897.473999023438
-1631000,1648000,-918.906066894531
-1630500,1648000,-947.206909179688
-1630000,1648000,-968.646240234375
-1629500,1648000,-975.388305664063
-1629000,1648000,-951.930908203125
-1628500,1648000,-913.322021484375
-1636000,1648500,-405.011383056641
-1635500,1648500,-462.115692138672
-1635000,1648500,-528.449645996094
-1634500,1648500,-581.486877441406
-1634000,1648500,-639.240539550781
-1633500,1648500,-701.078430175781
-1633000,1648500,-770.968322753906
-1632500,1648500,-832.025085449219
-1632000,1648500,-872.734008789063
-1631500,1648500,-899.684692382813
-1631000,1648500,-909.801574707031
-1630500,1648500,-926.378356933594
-1630000,1648500,-940.206787109375
-1629500,1648500,-922.238647460938
-1629000,1648500,-910.302001953125
-1628500,1648500,-881.292907714844
-1628000,1648500,-860.055603027344
-1637000,1649000,-400.082916259766
-1636500,1649000,-402.024688720703
-1636000,1649000,-418.97119140625
-1635500,1649000,-457.520263671875
-1635000,1649000,-511.342010498047
-1634500,1649000,-557.658020019531
-1634000,1649000,-609.5732421875
-1633500,1649000,-682.228576660156
-1633000,1649000,-756.8564453125
-1632500,1649000,-808.894897460938
-1632000,1649000,-874.159545898438
-1631500,1649000,-911.904541015625
-1631000,1649000,-910.537353515625
-1630500,1649000,-903.39208984375
-1630000,1649000,-901.448974609375
-1629500,1649000,-869.791687011719
-1629000,1649000,-855.45458984375
-1628500,1649000,-848.034545898438
-1628000,1649000,-820.4033203125
-1638000,1649500,-529.923706054688
-1637500,1649500,-480.647766113281
-1637000,1649500,-450.37060546875
-1636500,1649500,-444.153564453125
