# x,y,susceptibility,density
-1.688750000000000000e+06,1.723750000000000000e+06,1.442038640848963826e-05,1.043395651423963955e+00
-1.688500000000000000e+06,1.723750000000000000e+06,1.331358671516347236e-05,1.045854684188725514e+00
-1.688250000000000000e+06,1.723750000000000000e+06,1.512152136695643634e-05,1.048879236123070768e+00
-1.688000000000000000e+06,1.723750000000000000e+06,1.681133735487172487e-05,1.051636126324410725e+00
-1.687750000000000000e+06,1.723750000000000000e+06,1.847586739682494095e-05,1.054456366279310942e+00
-1.687500000000000000e+06,1.723750000000000000e+06,2.030745671129097207e-05,1.057447746660500343e+00
-1.687250000000000000e+06,1.723750000000000000e+06,2.260601608039536359e-05,1.060802656149945733e+00
-1.687000000000000000e+06,1.723750000000000000e+06,2.485813019285909586e-05,1.064681454914335745e+00
-1.686750000000000000e+06,1.723750000000000000e+06,2.608087871200370778e-05,1.068251370864629735e+00
-1.686500000000000000e+06,1.723750000000000000e+06,2.864128653765063426e-05,1.072403767014179721e+00
-1.686250000000000000e+06,1.723750000000000000e+06,3.139180316817646865e-05,1.076740401610663866e+00
-1.686000000000000000e+06,1.723750000000000000e+06,3.431153979142897992e-05,1.081407910630872493e+00
-1.685750000000000000e+06,1.723750000000000000e+06,3.761813052112483735e-05,1.086554579823200584e+00
-1.685500000000000000e+06,1.723750000000000000e+06,4.148500151682221748e-05,1.092295004236746081e+00
-1.685250000000000000e+06,1.723750000000000000e+06,4.603871252281677151e-05,1.098743448730999717e+00
-1.685000000000000000e+06,1.723750000000000000e+06,5.134143759077947067e-05,1.106021977866788575e+00
-1.684750000000000000e+06,1.723750000000000000e+06,5.727183238571353918e-05,1.114235552925777029e+00
-1.684500000000000000e+06,1.723750000000000000e+06,6.349389502113833572e-05,1.123489658832028226e+00
-1.684250000000000000e+06,1.723750000000000000e+06,6.928069283722304572e-05,1.133853594491313288e+00
-1.684000000000000000e+06,1.723750000000000000e+06,7.341469635194219912e-05,1.145339645753097102e+00
-1.683750000000000000e+06,1.723750000000000000e+06,7.418028290140377123e-05,1.157877184473960597e+00
-1.683500000000000000e+06,1.723750000000000000e+06,6.949105912186503975e-05,1.171271422388826977e+00
-1.683250000000000000e+06,1.723750000000000000e+06,5.716083393181303762e-05,1.185081092097902911e+00
-1.683000000000000000e+06,1.723750000000000000e+06,3.644598205018723114e-05,1.198978215051340612e+00
-1.682750000000000000e+06,1.723750000000000000e+06,7.101787912605628250e-06,1.213132131021268378e+00
-1.682500000000000000e+06,1.723750000000000000e+06,-2.933498552215585420e-05,1.227122895602292374e+00
-1.682250000000000000e+06,1.723750000000000000e+06,-6.927117813813887803e-05,1.240095578860234582e+00
-1.682000000000000000e+06,1.723750000000000000e+06,-1.077233725651355334e-04,1.251411346072643482e+00
-1.681750000000000000e+06,1.723750000000000000e+06,-1.364676659285912752e-04,1.260026658923834475e+00
-1.681500000000000000e+06,1.723750000000000000e+06,-1.440631019690719050e-04,1.264761977038176610e+00
-1.681250000000000000e+06,1.723750000000000000e+06,-1.172235586044678701e-04,1.264189316923733486e+00
